scost,jcost,scancost,tuples
120.38800000000003,35.79500000000006,634.9499999999999,253644.0
0.013000000000033651,0.0049999999999954525,548.177,48586.0
0.0,92.82299999999998,726.966,566360.0
0.0,32.99699999999997,766.072,199329.0
0.0,2.3620000000000005,5.492,10707.0
0.0,1.698000000000032,715.083,7807.0
0.0,333.2739999999999,717.914,1374608.0
0.049000000000043654,0.014999999999973625,821.777,14.0
0.39000000000000457,0.09499999999997635,705.139,872.0
0.0,1254.1449999999995,737.0989999999999,4621634.0
1.8130000000000208,1.2690000000000055,721.961,4840.0
111.55100000000002,93.12799999999993,650.183,312034.0
0.0,41.74500000000005,714.382,209702.0
0.0,360.066,712.173,2642073.0
1.1170000000000408,0.40700000000004094,565.5609999999999,3346.0
0.0,1.0190000000000003,5.0120000000000005,4740.0
0.0,10.789999999999992,695.089,76338.0
1571.92,622.279,672.105,2572405.0
2669.7709999999997,969.1570000000002,345.39300000000003,5731056.0
35.635999999999974,10.370000000000005,563.164,80063.0
0.0,811.8059999999999,384.00800000000004,4382810.0
0.0,73.50899999999994,738.997,552001.0
2104.056,587.4540000000001,337.002,4257455.0
197.34199999999996,115.16399999999996,715.718,655832.0
0.0,100.84699999999998,656.879,291824.0
36.84700000000005,10.995999999999965,552.6179999999999,82400.0
3330.898,439.86799999999994,409.62800000000004,4243589.0
0.0,26.622999999999948,794.7,195147.0
0.0,1.4720000000000002,4.788,7313.0
0.0,0.5329999999999124,733.118,5628.0
